Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
Arctic,67.17389,-156.3875,AK,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Southern Brooks Range-Ambler,CM resources,3,None.,"Probable reserves (2023): 46,700,000 tonnes @2.11% Cu, 2.90% Zn, 0.56% Pb, 38.130 g/t Ag, and 0.42 g/t Au.",ARDF-ID: AR025; Murray and others (2023),
Argenta mine,40.63694,-116.72778,NV,Basin brine path,Barite (replacement and bedded),barite,North-central Nevada barite,CM-past producer,1,"Production: (2017): 62,263 tons barite. No production reported in 2021.","In 2022, the mine was under reclamation.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103991
Argo,40.12972,-105.40082,CO,Alkalic porphyry,Fluorspar,fluorspar,Jamestown district,CM-past producer,1,"Production (1943): 2,319 metric tons fluorite. District production 1 to 1.5 million tons of fluorite.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10018054
Artillery Peak (Maggie Canyon),34.345,-113.624,AZ,Volcanogenic seafloor,"Manganese oxide (layers, crusts, nodules)",manganese,Artillery Mountains manganese,CM-past producer+resources,5,"Production (1952-1955): 79,300 long tons ore @18.5% Mn. Minor production and exploration 1909-1940 (war efforts). 1940s-1950s Mn produced from strategic metals stockpile.","Total compliant Measured, Indicated, and Inferred resources (2012): 280,509,435 metric tons @2.77% Mn.",MRDS (2005); Huang and others (2012); Tribe (2011),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10162258
Aspen mine,39.17832,-106.8234,CO,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Central Colorado Mineral Belt carbonate-replacement deposits,CM-past producer+resources,5,"Production: 101 million oz Ag (~2800 metric tons), 294,000 tons Zn, and 11,000 tons Pb.","Resource for Aspen district: 4 million metric tons @2% Zn, 8% Pb, 0.02% Cu, and 1000 g/t of Ag.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013236
Atolia-Rand placers,35.30332,-117.62783,CA,Placer,Wolframite/scheelite,tungsten,Southern California tungsten placers,CM-past producer+resources,5,"Production (1906-1939): Approximately 821,000 short ton units WO3, equivalent to 13,683 tons of concentrates containing 60% WO3, produced from the district; of this total, 94% came from veins and 6% from placers.","The Atolia district placer deposits contain possibly 28,000,000 cubic yards estimated to average more than a quarter of a pound of scheelite per cubic yard, or a total of at least 280,000 units of WO3.",MRDS (2005); Dicken and others (2022); Lemmon and Dorr (1940),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035311
Aurelian Springs (North Carolina),36.31406,-77.80294,NC,Placer,Ilmenite/rutile/leucoxene,"titanium, zirconium",Fall Zone Placers,CM resources,3,None.,"Measured resources (2016): In situ heavy minerals 1,020,000 tonnes @7.8% heavy minerals; heavy mineral assemblage grade 70.1% ilmenite and 7% zircon. Indicated resources (2016): In situ heavy minerals 1,826,000 tonnes @7.4% heavy minerals; heavy mineral assemblage grade 66.7% ilmenite and 8.3% zircon. Inferred resources (2016): In situ heavy minerals 233,000 tonnes @6.5% heavy minerals; heavy mineral assemblage grade 61.7% ilmenite and 6.6% zircon.",Iluka Resources Limited (2017a),
Aurelian Springs (Virginia),36.906,-77.568,VA,Placer,Ilmenite/rutile/leucoxene,"titanium, zirconium",Fall Zone Placers,CM-recent producer+resources,6,"Production (2014): 3,070,000 metric tons of heavy mineral sands ore including 94,800 metric tons of ilmenite and 5,400 metric tons of zircon. Production (2017): 9,300 metric tons of zircon. Mining by Iluka Resources completed in 2017.","Total Measured, Indicated, and Inferred resources (2018): 91,000,000 metric tons @3.1% ilmenite, 0.48% zircon, and 4.8% heavy mineral sands.",Iluka Resources Limited (2018),
Austinville-Ivanhoe mine,36.84727,-80.92011,VA,Basin brine path,Zinc-lead (MVT and sedex),zinc,Timberville and Austinville-Ivanhoe MVT districts,CM-past producer+resources,5,"Production (1966-1977): ~6,155,700 metric tons ore @3% Zn and 1% Pb.","Resource (1977): 2,780,000 metric tons ore @3.5% Zn and 0.6% Pb. At the time of closure in 1981, New Jersey Zinc Corp estimated remaining mineable ore reserves of about 900,000 tons.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10300769
Avan Hills,68.2467,-161.9034,AK,Mafic magmatic,Chromite,"chromium, iridium, palladium, platinum",Northern Brooks Range (Angayucham Terrane) PGE,CM resources,3,None.,"Estimated Cr2O3 content measured in 26 deposits ranges from 465,000 to 1,734,000 short tons. The area contains at least 50 other minor or unmeasured chromite lode occurrences, and also has potential for large, low-grade chromite and PGE placer deposits. Platinum and Pd were detected in chromite-bearing dunite (0.014 troy oz/st Pt) and in chromite concentrates (0.016 troy oz/st Pd). Iridium was detected in a pan concentrate sample (0.0036 troy oz/st).",ARDF-ID: MU009; Foley and others (1992),
Back Forty deposit,45.45,-87.85,MI,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Pembine-Wausau and Minnesota Paleoproterozoic,CM resources,3,None.,"Resource (2018): estimated 16.6 Mt of Measured and Indicated mineral resource of over 1.0 million oz Au, 13.2 million oz Ag, 1.1 billion lbs Zn, 116 million lbs Cu, and 94 million lbs Pb.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400509
Bagdad mine,34.58453,-113.20879,AZ,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Southwest Laramide Porphyry Belt,Past producer+CM resources,2,"Production (1929-2015): 2,037,100 troy oz Ag, 276,000,000 lbs Mo, 11,470,000,000 lbs Cu, and 231 troy oz Au.","Proven + Probable Reserve (2016): 1,105,000,000 metric tons mill ore @0.02% Mo, 1.45 g/metric ton Ag, and 0.34% Cu. Resource (2017): 1,600,000,000 metric tons ore @0.08 g/metric ton Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Baker 1 (Eufaula bauxite district),31.76079,-85.31055,AL,Chemical weathering,Bauxite,aluminum,Alabama bauxite,CM-past producer+resources,5,"District bauxite production (1927-1960): 900,000 long tons from more than 130 open pits. Eufaula mine ore grade 51.77% Al2O3.","1940's era district reserves estimated at 950,000 long tons. High silica and small size deposits. USBM drilled in 1940s.",MRDS (2005); Patterson (1967); Warren and Clark (1965),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10257789
Bald Mountain placer,44.7934,-107.8593,WY,Placer,Ilmenite/rutile/leucoxene,"REE, titanium",Bald Mountain paleoplacers,CM resources,3,None.,"Potential resource (1953): 674,160 tons @3.261% ilmenite, 13.2 lbs/ton monazite; Unclassified resource (1962) 18,000,000 tonnes ore @1.25% monazite (0.077% REO).",Bellora and others (2019); Jackson and Christiansen (1993),https://doi.org/10.5066/F7FN15D1
Bald Mountain prospect,46.73457,-68.74477,ME,Volcanogenic seafloor,Polymetallic sulfide,"arsenic, zinc",New England Peri-Gondwanan Arc Systems,CM resources,3,None.,"Resource (in situ, total hypogene, 2004): 29,980,000 metric tons ore @1.03% Cu, 0.51 g/metric ton Au, 14.4 g/metric ton Ag, 1.12% Zn, and 0.42% As.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10084601
Balmat mines (Balmat-Edwards),44.25218,-75.39977,NY,Basin brine path,Zinc-lead (MVT and sedex),zinc,Rossie-Balmat-Edwards mining districts,CM-past producer+resources,5,"Production (#3 mine; 1952-2001): 5,700,000 metric tons @9% Zn; (#2 mine; 1930-2001): 17,800,000 metric tons @9% Zn; (#4 mine; 1965-2001): 9,400,000 metric tons @8% Zn.",Resource (2003): estimated diluted recoverable reserve for Balmat-Edwards is 4 million tons of ore @12.9% Zn.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10082070
BamaStar (Ceylon),33.07743,-86.1567,AL,Metamorphic,Graphite (coal or carbonaceous sed),graphite,Alabama Graphite-Vanadium Belt,CM-past producer+resources,5,Ceylon mine operated on the site 1916-1929; 1943.,"Total Inferred resources (2023) 22,000,000 metric tons @2.4% graphite at a 1.1% cutoff grade.",South Star Battery Metals Corp. (2023),
Bar Rick mine,41.66092,-123.94475,CA,Mafic magmatic,Chromite,chromium,Klamath Mountains chromite,CM resources,3,Unknown.,"Reserve (1982): 24,611,000 metric tons ore @3.1% Cr2O3.",Wetzel (1986),
Barite No. 1,41.13568,-122.24971,CA,Basin brine path,Barite (replacement and bedded),barite,Klamath Mountains barite,CM-past producer,1,"Production (1962-1964): ~30,000 tons barite.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10077526
Barnett mine,37.44867,-88.42974,IL,Hybrid magmatic REE / basin brine path,Fluorspar,"barite, fluorspar",Illinois-Kentucky Fluorspar District,CM-past producer+resources,5,"Production (1966-1984): total tonnage difficult to determine, but estimated to be ~550,000 tons (along with West Vein).","Proved reserve (1981): 600,000 tons ore @40% barite and 20% fluorite.",MRDS (2005); Denny and others (2020),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10169446
Barringer Hill,30.77799,-98.43111,TX,Climax-type,Pegmatite NYF,"REE, zirconium",Central Texas pegmatites,CM-past producer,1,Production (early 1900s): 800 to 1200 lbs gadolinite and a few 100 lbs/yr REE.,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10099520
Bear Lodge prospect,44.49888,-104.45627,WY,Magmatic REE,Carbonatite,REE,Bear Lodge District and Broader Region,CM resources,3,None.,"Inferred resource (2014): 28,900,000 tonnes ore @2.58% TREO. Proven + Probable resource (2014): 14,200,000 tonnes ore @2.78% TREO.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Bear Valley placers,44.37071,-115.40178,ID,Placer,Columbite/tantalite,"niobium, REE, tantalum",Idaho Critical Mineral Placers,CM-past producer+resources,5,"In 1955 99% of domestic supply of columbite and tantalum was produced from Bear Valley placers. Past production of 10,000 metric tons REO.","Total resources (2002): 109,900,000 metric tons @0.0155% monazite or 0.010% REO.",MRDS (2005); Jackson and Christiansen (1993); Orris and Grauch (2002),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10105706
Beaver Creek,43.993,-106.878,WY,Metamorphic,"Gneiss REE (monazite, xenotime)",REE,Wyoming Metasedimentary and Metavolcanic Belts,CM-past producer,1,Production (1955): 544 tonnes @1.5% REO.,Unknown.,Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Beecher No. 3,43.73329,-103.5005,SD,Porphyry Sn (granite-related),Pegmatite LCT,"beryllium, lithium",Southern Black Hills pegmatites,CM-past producer,1,"Production (1962): between 10,000 and 100,000 lbs Be. Production (1952-1955): 342.5 short tons of beryl. Also, about 15 tons of spodumene concentrates.",Unknown.,MRDS (2005); Redden (1959),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009679
Benbow chromite mine,45.36436,-109.8069,MT,Mafic magmatic,Chromite,chromium,Stillwater Complex,CM-past producer+resources,5,"Production (until 1943): 330,393 tonnes chromite ore from Benbow, Gish, and Mouat mines.",Resources: estimated that 13.6 million tonnes ore @20 to 22% Cr2O3 remains at the Mouat and Benbow mines.,Childs and Armitage (2021),
Benbow G chromite seam,45.36422,-109.8067,MT,Mafic magmatic,Chromite,chromium,Stillwater Complex,CM resources,3,None.,"Resource (1986): 17,953,000 metric tons ore @22.2% Cr2O3.",Wetzel (1986),
Benbow nickel-copper deposit,45.36094,-109.81588,MT,Mafic magmatic,Nickel-copper-PGE sulfide,nickel,Stillwater Complex,CM resources,3,None.,"Resource (1993): 13,100,000 metric tons ore @0.44% Cu and 0.57% Ni.",Wetzel (1986); Suda and others (2009),
Bernard Mountain,61.572,-145.1432,AK,Mafic magmatic,Chromite,chromium,Chugach Mountains-Kodiak Island PGE,CM resources,3,None.,"Identified reserve (1985): 343,000 tons Cr2O3.",ARDF-ID: VA013; Foley and Barker (1985); Foley and others (1986),
"Bessemer City, Hallman-Beam mine",35.3363,-81.3139,NC,Porphyry Sn (granite-related),Pegmatite LCT,lithium,Kings Mountain pegmatite district,CM-past producer+resources,5,"Production (1974-1980): 15,972 metric tons Li.","Reserve (2009): 27,500,000 tonnes ore @1.5% Li2O.",Karl and others (2019),https://doi.org/10.5066/P9ZKRWQF
Big Generostee Creek,34.45246,-82.73656,SC,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Piedmont fluvial placers,CM resources,3,None.,"Reserves (1955): 9,461 tons monazite, 155,860 tons ilmenite, 6,613 tons rutile, and 26,453 tons zircon.",Bellora and others (2019); Hansen and Caldwell (1955),https://doi.org/10.5066/F7FN15D1
Big Lead mine,44.85488,-114.50403,ID,Climax-type,Fluorspar,fluorspar,Meyers Cove fluorspar,CM-past producer,1,"Production: 26,579 metric tons fluorite (75% of the fluorite production from the area).",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10216911
Big Sandy,34.70922,-113.56947,AZ,Lacustrine evaporite,Lithium clay,lithium,West central Arizona lithium,CM resources,3,None.,"Total Indicated and Inferred JORC-compliant resource (2019): 32,500,000 metric tons @0.399% Li2O (130,000 metric tons lithium oxide) or 1,850 ppm Li for 320,800 metric tons of Li2CO3.",Arizona Lithium (2022),
Bingham Canyon mine,40.5232,-112.1478,UT,Porphyry Cu-Mo-Au,Porphyry/skarn copper,"indium, platinum, rhenium, tellurium",Oquirrh Mountains,CM-recent producer+resources,6,"Production (1904-2016): 18,803,400 metric tons Cu, 28,926,900 oz Au, 649,400 metric tons Mo, and 244,943,000 oz Ag. Starting in 2022, production of 20 tons Te/year.","Resource (2017): 3,230,000,000 metric tons ore @0.221 g/metric ton Re and 10.1 ppb Pt; 859,000,000 metric tons @0.1 g/metric ton In; Proven + Probable (2016): 668,000,000 tonnes ore @0.33% Mo and 0.43% Cu; Measured + Indicated + Inferred (2016): 72,000,000 tonnes ore @0.17 g/tonne Au and 1.61 g/tonne Ag.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Birch Creek placer,64.4574,-155.3554,AK,Placer,Cassiterite,tin,Placer Au and Sn,CM-past producer,1,"Production (1917-1936): 5,000 lbs Sn concentrate.",Unknown.,ARDF-ID: RB035; Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Birch Lake,47.73294,-91.80817,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"nickel, PGE",Midcontinent Rift large mafic intrusions,CM resources,3,None.,"Birch Lake resource (2014): Inferred mineral resource: 239,000,000 short tons ore @0.46% Cu, 0.087 ppm Au, 0.15% Ni, 0.37 ppm Pd, and 0.18 ppm Pt. Indicated mineral resource: 99,700,000 short tons @0.515 ppm Pd, 0.52% Cu, 0.115 ppm Au, 0.16% Ni, and 0.235 ppm Pt.",Barber and others (2014); Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Bismarck Creek,62.4233,-157.0246,AK,Porphyry Sn (granite-related),Polymetallic sulfide S-R-V-IS,"tin, zinc",Kuskokwim-White Mountains Sn-W,CM resources,3,None.,"Inferred reserve (1997): 498,000 tonnes ore @0.26% Zn, 0.137% Sn, 47.8 g/tonne Ag, and 0.16% Cu.",ARDF-ID: ID130; Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Bisoni fluorspar deposit (MB project),39.41993,-116.089,NV,Climax-type,Fluorspar,fluorspar,McCullough Butte,CM resources,3,None.,"Resources (1970s): “many 100,000s” short tons, 10% CaF2 (Fish Creek district) 1987: >120,000,000 tons @10% CaF2. 2014: 9,800,000 tons @10.3% CaF2 (Indicated mineral resource, 8% CaF2 cutoff); 32,500,000 tons, 10.4% CaF2 (Inferred mineral resource, 8% CaF2 cutoff) [JORC compliant]. 2015: MB: 6,700,000 tons @10.8% CaF2 (Indicated mineral resource, 9% CaF2 cutoff); 88,500,000 tons, 0.7% CaF2 (Inferred mineral resource, 9% CaF2 cutoff) [JORC compliant].",MRDS (2005); Nevada Bureau of Mines and Geology (2017); Foley and others (2017); Hayes and others (2017); Tertiary Minerals plc (2015),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10125493
Bisoni-McKay,39.08437,-116.14784,NV,Marine chemocline,Black shale,vanadium,Gibellini and Carlin Vanadium,CM resources,3,None.,"Indicated resources (2016): 11,879,590 tons @0.39% V2O5; Inferred resources (2016): 7,048,056 tons @0.42% V2O5.",MRDS (2005); Ullmer and Bentzen (2016),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045877
Black Butte (Johnny Lee zones),46.7752,-110.90742,MT,Basin brine path,Copper (sed-hosted and replacement),cobalt,Black Butte (Sheep Creek),CM resources,3,None.,"Total reserves and resources (2013): 17,940,000 metric tons @3.326% Cu, 0.101 % Co, and 13,800 g/t Ag. Total reserves and resources (2020): 21,859,000 metric tons @2.695 % Cu.",Burger and others (2018); Winckers and others (2013); Malhotra and others (2020),https://doi.org/10.5066/P9V74HIU
Black Hawk,32.7252,-108.5008,NM,Arsenide,Five element veins,"cobalt, zinc",Black Hawk mining district,Past producer+CM resources,2,"Production (1881-1918): No ore tonnage but 1919-1920 ore grades 1% Cu, 2% Zn, 18% Pb, and 75 g/t Ag. Alhambra and Black Hawk mines; Alhambra reopened 1957-1960 and shipped small amount of high-grade Ag ore. District production: 6 million lbs Co.","Probable ore reserve (1965): 4,000,000,000 lbs ore @0.15% Co. No resource defined for Zn or Ni but a 100 lb. sample contained 8.8% Zn, 8.9% Ni, and 0.9% Co.",Burger and others (2018); McLemore (2017); Weber (1965),https://doi.org/10.5066/P9V74HIU
Black Mountain quarries,44.58556,-70.64633,ME,Porphyry Sn (granite-related),Pegmatite LCT,"beryllium, lithium, tin",Oxford County pegmatite field,CM-past producer+resources,5,"Total production (up to 19422): approximately 1,950 tons scrap mica, 33 tons beryl, 460 tons potash feldspar, 120 tons soda feldspar, and 2 tons spodumene.",Reserve (1954): 18 metric tons ore @78.7% Sn.,MRDS (2005); Mallot and others (1949),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10169842
Black Pearl,34.68754,-113.03548,AZ,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Basin and Range Proterozoic W veins and replacements,CM-past producer,1,"Production (1951-1956): 62,100 lbs concentrate (70% WO3); 6,312 stu of WO3.",Unknown.,MRDS (2005); Dale (1961),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10027556
Black Rock,37.68457,-118.52815,CA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Eastern California tungsten,CM-past producer,1,"Production (1928-1978): 635,000 metric tons ore @0.5% WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Blackbird,45.11736,-114.34256,ID,IOA-IOCG,Iron oxide copper gold,cobalt,Idaho Cobalt Belt,CM-past producer+resources,5,"Production (1936-1968): 283,741 tons ore yielding 53,450,171 lbs Cu, 13,865,496 lbs Co, 24,136 oz Au, 53,544 oz Au.","Reserve (1977): 6,500,000 tons ore @0.55% Co and 1.31% Cu.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Blackfoot Bridge,42.7907,-111.5244,ID,Marine chemocline,Phosphate,REE,Phosphoria Formation,Past producer+CM resources,2,Production of phosphate.,"Resource (1984): 5,900,000 metric tons ore @0.16% monazite.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
